VIN,Make,Year,Model,AutoID,OwnerID,DriveTrain,EngineType,Transmission,ExteriorColor,InteriorColor
FHL3O1SA4IEHB4WU1,Contoso Motors,2007,Sedan,1,1,FWD,6 Cylinder,Manual,Black,Black
PUB3U17PS911EB369,Contoso Motors,2005,Sedan,2,86,FWD,6 Cylinder,Manual,Thunder Gray,Gray
OA1FTZ9HJBS0LH0HP,Contoso Motors,2005,Wagon,3,138,FWD,6 Cylinder,Automatic,Deep Blue,Brown
JTHMYHQTEPP4WBMRN,Contoso Motors,2007,Minivan,4,4,FWD,6 Cylinder,Automatic,Volcanic Orange,White
9230C202Z60XX84AU,Contoso Motors,2004,SUV,5,24,AWD,6 Cylinder,Automatic,Blazing Gray,Black
TEE8OFO7KCFO1PQH6,Contoso Motors,2011,SUV,6,72,FWD,4 Cylinder,Automatic,Blazing Gray,Black
3581A1IM5GCDDNX6S,Contoso Motors,2012,Commercial,7,439,AWD,8 Cylinder,Automatic,Gray,Dark Gray
5KKR2VB4WHQH97PF8,Contoso Motors,2016,Convertible 2DR,8,8,FWD,8 Cylinder,Automatic,Deep Blue,Brown
C7DB1JTWYWWVOCU3K,Contoso Motors,2005,Coupe,9,257,FWD,4 Cylinder,Manual,Racing Green,Beige
26WJSGHX4MA5ROHNL,Contoso Motors,2013,Hybrid,10,10,FWD,Hybrid,Semi-automatic,White Silver,Smoke White
8Y5QKG27QET1RBK7I,Contoso Motors,2009,Truck,11,18,AWD,10 Cylinder,Automatic,Blue,Black
TS61YCX093VPDBN4C,Contoso Motors,2007,Wagon,12,522,FWD,6 Cylinder,Automatic,Deep Blue,White
HE0Y7YC1BJJBQ7K98,Contoso Motors,2010,Sedan,13,146,FWD,6 Cylinder,Manual,Volcanic Orange,White
3HUG8Y362XD2AWKDY,Contoso Motors,2015,Sedan,14,206,AWD,6 Cylinder,Manual,Blue,Old Lace
LVYE74QDF2F9CRP70,Contoso Motors,2004,Sedan,15,445,FWD,6 Cylinder,Manual,Midnight Black,Silverstone
F19LDAGBRRYUMX2UX,Contoso Motors,2005,Wagon,16,146,AWD,6 Cylinder,Automatic,Deep Blue,White
FEP3U8HGTMIW5CPBU,Contoso Motors,2007,Truck,17,258,AWD,10 Cylinder,Automatic,Black,Black
O8NSRUCP8NC0XG4YQ,Contoso Motors,2005,Truck,18,402,FWD,10 Cylinder,Automatic,Black,Black
BWQ77DOTN9R6J8DR6,Contoso Motors,2007,Coupe,19,265,AWD,4 Cylinder,Manual,Midnight Black,Silverstone
Z2EOZWZBXAEW3E60T,Contoso Motors,2013,Hybrid,20,20,FWD,Hybrid,Semi-automatic,Deep Blue,Brown
3ADD7VN2KKRYOT2XS,Contoso Motors,2013,SUV,21,142,FWD,Electric,Automatic,Blazing Gray,Black
RD8HGV484NLOVRUHP,Contoso Motors,2012,Commercial,22,487,AWD,8 Cylinder,Automatic,Gray,Dark Gray
R0JAUHT1L1R3BIKI0,Contoso Motors,2011,Convertible 2DR,23,23,AWD,Electric,Automatic,Racing Green,Beige
ZV03D9VP79L5BZ98V,Contoso Motors,2013,SUV,24,704,FWD,6 Cylinder,Automatic,Blazing Gray,Black
OZPT7F80EYFGFFEFA,Contoso Motors,2004,SUV,25,752,RWD,8 Cylinder,Automatic,Blazing Gray,Black
4WPYRUZII5YV7YA42,Contoso Motors,2007,Minivan,26,26,FWD,6 Cylinder,Automatic,Thunder Gray,Gray
